t,I,Type,"Type Numerical(A=0, C=1, T=2, G=3)",Blockade_Height
0.1398,0.40028,C,1,0.557984
0.9793,0.86559,C,1,0.092674
0.6299,0.48053,C,1,0.477734
0.5293,0.40142,C,1,0.556844
0.2804,0.39631,C,1,0.561954
0.3705,0.45724,C,1,0.501024
0.0801,0.37587,C,1,0.582394
0.62,0.47754,C,1,0.480724
0.051,0.39308,C,1,0.565184
0.2405,0.43375,C,1,0.524514
0.0607,0.41117,C,1,0.547094
0.0497,0.40369,C,1,0.554574
0.0606,0.3795,C,1,0.578764
0.3498,0.4456,C,1,0.512664
0.7,0.46183,C,1,0.496434
0.1495,0.39794,C,1,0.560324
0.091,0.3785,C,1,0.579764
0.37,0.41433,C,1,0.543934
0.1005,0.39535,C,1,0.562914
0.5998,0.48837,C,1,0.469894
0.5302,0.46545,C,1,0.492814
0.9902,0.53422,C,1,0.424044
0.7,0.4344,C,1,0.523864
0.3605,0.39344,C,1,0.564824
0.7003,0.42086,C,1,0.537404
0.0598,0.39309,C,1,0.565174
1.1095,0.4595,C,1,0.498764
0.0996,0.38728,C,1,0.570984
0.711,0.49987,C,1,0.458394
0.069,0.43648,C,1,0.521784
0.051,0.37495,C,1,0.583314
0.051,0.40714,C,1,0.551124
0.3593,0.4304,C,1,0.527864
0.16,0.43481,C,1,0.523454
0.75,0.51442,C,1,0.443844
0.0497,0.38192,C,1,0.576344
0.8703,0.64163,C,1,0.316634
0.6205,0.60985,C,1,0.348414
0.0695,0.36846,C,1,0.589804
0.7189,0.44537,C,1,0.512894
0.5,0.42922,C,1,0.529044
0.0195,0.38202,T,2,0.576244
0.2295,0.79741,T,2,0.160854
0.2306,0.64162,T,2,0.316644
0.1106,0.62709,T,2,0.331174
0.159,0.68004,T,2,0.278224
0.0605,0.5411,T,2,0.417164
0.1396,0.56572,T,2,0.392544
0.1399,0.55357,T,2,0.404694
0.13,0.55944,T,2,0.398824
0.0702,0.52187,T,2,0.436394
0.08,0.57116,T,2,0.387104
0.1297,0.54945,T,2,0.408814
0.1205,0.5635,T,2,0.394764
0.1205,0.77603,T,2,0.182234
0.1102,0.49774,T,2,0.460524
0.08,0.52506,T,2,0.433204
0.0995,0.62605,T,2,0.332214
0.0995,0.46627,T,2,0.491994
0.0704,0.52372,T,2,0.434544
0.0606,0.63164,T,2,0.326624
0.0607,0.53618,T,2,0.422084
0.069,0.64418,T,2,0.314084
0.0803,0.53522,T,2,0.423044
0.08,0.55933,T,2,0.398934
0.1105,0.60634,T,2,0.351924
0.08,0.71187,T,2,0.246394
0.0598,0.55593,T,2,0.402334
0.08,0.61991,T,2,0.338354
0.0595,0.64708,T,2,0.311184
0.0607,0.45728,T,2,0.500984
0.0702,0.53098,T,2,0.427284
0.0693,0.4169,T,2,0.541364
0.0705,0.42984,T,2,0.528424
0.0595,0.41864,T,2,0.539624
0.1093,0.68005,T,2,0.278214
0.0998,0.50341,T,2,0.454854
0.1007,0.55853,T,2,0.399734
0.1102,0.5962,T,2,0.362064
0.08,0.66069,T,2,0.297574
0.1105,0.58253,T,2,0.375734
0.0702,0.52084,T,2,0.437424
0.0705,0.43494,T,2,0.523324
0.0705,0.4485,T,2,0.509764
0.2905,0.78234,T,2,0.175924
0.0594,0.48265,T,2,0.475614
0.13,0.59387,T,2,0.364394
0.0899,0.47,T,2,0.488264
0.1095,0.63198,T,2,0.326284
0.2295,0.57677,T,2,0.381494
0.1407,0.4857,T,2,0.472564
0.0606,0.43953,T,2,0.518734
0.1005,0.66678,T,2,0.291484
0.0594,0.49893,T,2,0.459334
0.1893,0.68221,T,2,0.276054
0.0995,0.61275,T,2,0.345514
0.1805,0.48664,T,2,0.471624
0.0595,0.47035,T,2,0.487914
0.0693,0.60864,T,2,0.349624
0.0607,0.43124,T,2,0.527024
0.0897,0.46341,T,2,0.494854
0.0594,0.52697,T,2,0.431294
0.0693,0.47584,T,2,0.482424
0.1205,0.66415,T,2,0.294114
0.0705,0.52651,T,2,0.431754
0.0701,0.56758,T,2,0.390684
0.0701,0.56309,T,2,0.395174
0.0899,0.53556,T,2,0.422704
0.0996,0.59802,T,2,0.360244
0.0593,0.39491,T,2,0.563354
0.109,0.68897,T,2,0.269294
0.079,0.55186,T,2,0.406404
0.1106,0.60759,T,2,0.350674
0.0605,0.57831,T,2,0.379954
0.0595,0.45348,T,2,0.504784
0.0704,0.48468,T,2,0.473584
0.0801,0.52393,T,2,0.434334
0.0801,0.6569,T,2,0.301364
0.0594,0.41029,T,2,0.547974
0.0801,0.62289,T,2,0.335374
0.0701,0.66884,T,2,0.289424
0.211,0.46912,T,2,0.489144
0.08,0.44431,T,2,0.513954
0.09,0.49203,T,2,0.466234
0.091,0.48875,T,2,0.469514
0.0702,0.49046,T,2,0.467804
0.0693,0.40573,T,2,0.552534
0.0897,0.72477,T,2,0.233494
0.0801,0.53205,T,2,0.426214
0.0598,0.49706,T,2,0.461204
0.0695,0.48545,T,2,0.472814
0.091,0.506,T,2,0.452264
0.0995,0.47733,T,2,0.480934
0.0693,0.44161,T,2,0.516654
0.0704,0.65395,T,2,0.304314
0.069,0.52752,T,2,0.430744
0.0895,0.47346,T,2,0.484804
0.1601,0.56894,T,2,0.389324
0.0702,0.55025,T,2,0.408014
0.1602,0.78837,T,2,0.169894
0.119,0.88994,T,2,0.068324
0.0598,0.43088,T,2,0.527384
0.1101,0.627,T,2,0.331264
0.0693,0.42927,T,2,0.528994
0.0594,0.54731,T,2,0.410954
0.0895,0.61198,T,2,0.346284
0.0608,0.42703,T,2,0.531234
0.619,0.47539,T,2,0.482874
0.1211,0.44135,T,2,0.516914
0.0995,0.44426,T,2,0.514004
0.17,0.72457,T,2,0.233694
0.2187,0.66701,T,2,0.291254
0.0805,0.47983,T,2,0.478434
0.1191,0.70118,T,2,0.257084
0.1092,0.62334,T,2,0.334924
0.1892,0.63059,T,2,0.327674
0.0919,0.48065,T,2,0.477614
0.17,0.62429,T,2,0.333974
0.09,0.53441,T,2,0.423854
0.0681,0.52935,T,2,0.428914
0.0585,0.39895,T,2,0.559314
0.0897,0.58791,T,2,0.370354
0.16,0.59127,T,2,0.366994
0.0608,0.55793,T,2,0.400334
0.08,0.49354,T,2,0.464724
0.1795,0.44528,T,2,0.512984
0.0608,0.43141,T,2,0.526854
0.0682,0.44106,T,2,0.517204
0.0995,0.53949,T,2,0.418774
0.0898,0.61538,T,2,0.342884
0.0604,0.53171,T,2,0.426554
0.07,0.49011,T,2,0.468154
0.0702,0.61627,T,2,0.341994
0.09,0.58569,T,2,0.372574
0.07,0.41646,T,2,0.541804
0.1014,0.58395,T,2,0.374314
0.0705,0.43471,T,2,0.523554
0.0603,0.49989,T,2,0.458374
0.0605,0.50657,T,2,0.451694
0.0608,0.55651,T,2,0.401754
0.0704,0.50787,T,2,0.450394
0.1093,0.96635,T,2,-0.008086
0.1309,0.92301,T,2,0.035254
0.0608,0.42601,T,2,0.532254
0.08,0.54369,T,2,0.414574
0.211,0.7199,T,2,0.238364
0.1505,0.74185,T,2,0.216414
0.1191,0.61211,T,2,0.346154
0.1093,0.48404,T,2,0.474224
0.0605,0.45891,T,2,0.499354
0.17,0.55114,T,2,0.407124
0.0703,0.4796,T,2,0.478664
0.1287,0.77198,T,2,0.186284
0.26,0.73675,T,2,0.221514
0.1795,0.50821,T,2,0.450054
0.2305,0.68016,T,2,0.278104
0.1719,0.60932,T,2,0.348944
0.131,0.44974,T,2,0.508524
0.09,0.50079,T,2,0.457474
0.0604,0.46145,T,2,0.496814
0.1819,0.49795,T,2,0.460314
0.1503,0.58389,T,2,0.374374
0.0997,0.49052,T,2,0.467744
0.0686,0.58838,T,2,0.369884
0.0997,0.4809,T,2,0.477364
0.1797,0.51738,T,2,0.440884
0.0781,0.42825,T,2,0.530014
0.0608,0.41677,T,2,0.541494
0.1797,0.74305,T,2,0.215214
0.16,0.5156,T,2,0.442664
0.0605,0.38919,T,2,0.569074
0.1115,0.66623,T,2,0.292034
0.0897,0.70787,T,2,0.250394
0.1601,0.85221,T,2,0.106054
0.17,0.46372,T,2,0.494544
0.131,0.78743,T,2,0.170834
0.1601,0.88804,T,2,0.070224
0.0605,0.51456,T,2,0.443704
0.0995,0.56308,T,2,0.395184
0.09,0.45972,T,2,0.498544
0.2382,0.72161,T,2,0.236654
0.209,0.65689,T,2,0.301374
0.0604,0.50165,T,2,0.456614
0.0703,0.59714,T,2,0.361124
0.1502,0.57637,T,2,0.381894
0.0705,0.59028,T,2,0.367984
0.0705,0.45974,T,2,0.498524
0.119,0.4034,T,2,0.554864
0.0682,0.40619,T,2,0.552074
0.0994,0.43887,T,2,0.519394
0.0995,0.41981,T,2,0.538454
0.199,0.4787,T,2,0.479564
0.16,0.48734,T,2,0.470924
0.0805,0.42341,T,2,0.534854
0.0997,0.53252,T,2,0.425744
0.0586,0.43832,T,2,0.519944
0.0686,0.52956,T,2,0.428704
0.1113,0.52952,T,2,0.428744
0.0606,0.39199,T,2,0.566274
0.121,0.45447,T,2,0.503794
0.1092,0.47634,T,2,0.481924
0.0702,0.39672,T,2,0.561544
0.0686,0.46709,T,2,0.491174
0.07,0.4352,T,2,0.523064
0.1407,0.46279,T,2,0.495474
0.0705,0.41019,T,2,0.548074
0.0585,0.44774,T,2,0.510524
0.07,0.47244,T,2,0.485824
0.0606,0.44839,T,2,0.509874
0.1113,0.5785,T,2,0.379764
0.0805,0.47062,T,2,0.487644
0.0705,0.48145,T,2,0.476814
0.0587,0.4241,T,2,0.534164
0.07,0.45593,T,2,0.502334
0.0606,0.45358,T,2,0.504684
0.1502,0.63001,T,2,0.328254
0.0705,0.44374,T,2,0.514524
0.0703,0.51382,T,2,0.444444
0.1503,0.50882,T,2,0.449444
